model,year,price,transmission,mileage,fuelType,mpg,engineSize
 Octavia,2017,10550,Manual,25250,Petrol,54.3,1.4
 Citigo,2018,8200,Manual,1264,Petrol,67.3,1.0
 Octavia,2019,15650,Automatic,6825,Diesel,67.3,2.0
 Yeti Outdoor,2015,14000,Automatic,28431,Diesel,51.4,2.0
 Superb,2019,18350,Manual,10912,Petrol,40.9,1.5
 Yeti Outdoor,2017,13250,Automatic,47005,Diesel,51.4,2.0
 Superb,2019,15250,Manual,14850,Petrol,40.9,1.5
 Octavia,2019,18950,Automatic,5850,Diesel,50.4,2.0
 Kodiaq,2019,29900,Automatic,2633,Petrol,31.4,2.0
 Octavia,2017,18990,Manual,20000,Petrol,43.5,2.0
 Octavia,2016,8500,Automatic,91280,Diesel,64.2,2.0
 Octavia,2017,8695,Manual,84450,Diesel,74.3,1.6
 Superb,2016,7000,Manual,109060,Diesel,68.9,1.6
 Rapid,2016,7950,Manual,33013,Petrol,57.7,1.2
 Karoq,2018,19772,Manual,12894,Petrol,51.4,1.5
 Fabia,2012,4695,Manual,54631,Petrol,49.6,1.2
 Fabia,2012,4250,Manual,61000,Petrol,49.6,1.2
 Octavia,2018,13490,Automatic,31866,Diesel,72.4,1.6
 Yeti,2014,9980,Manual,41936,Diesel,48.7,2.0
 Fabia,2017,11290,Manual,15282,Petrol,64.2,1.0
 Scala,2020,17000,Manual,731,Petrol,50.4,1.0
 Octavia,2019,13490,Manual,14449,Petrol,55.4,1.5
 Octavia,2019,14490,Automatic,14896,Petrol,57.7,1.0
 Octavia,2019,19000,Automatic,7000,Petrol,47.9,2.0
 Fabia,2019,13490,Manual,6000,Petrol,51.4,1.0
 Superb,2018,14690,Manual,13939,Petrol,40.9,1.5
 Fabia,2017,11890,Automatic,10660,Petrol,60.1,1.2
 Kodiaq,2019,21290,Automatic,11932,Petrol,34.0,1.5
 Kodiaq,2019,28000,Automatic,14398,Diesel,49.6,2.0
 Superb,2019,17490,Automatic,10587,Diesel,62.8,2.0
 Superb,2019,23000,Automatic,5000,Petrol,36.7,1.5
 Fabia,2019,8690,Manual,12368,Petrol,50.4,1.0
 Fabia,2019,12690,Manual,2174,Petrol,50.4,1.0
 Kodiaq,2019,29000,Automatic,3785,Petrol,31.4,2.0
 Kodiaq,2019,29000,Automatic,5705,Petrol,31.4,2.0
 Superb,2017,20000,Automatic,8448,Diesel,61.4,2.0
 Yeti Outdoor,2016,16000,Automatic,18200,Diesel,51.4,2.0
 Octavia,2019,13690,Automatic,13393,Diesel,72.4,1.6
 Octavia,2019,13000,Manual,15084,Diesel,68.9,1.6
 Superb,2019,24490,Automatic,15,Petrol,38.2,2.0
 Fabia,2019,13000,Manual,2696,Petrol,64.2,1.0
 Fabia,2019,10290,Manual,4597,Petrol,57.7,1.0
 Octavia,2019,14590,Automatic,14375,Diesel,70.6,1.6
 Fabia,2016,9690,Manual,15000,Petrol,58.9,1.2
 Octavia,2019,12695,Manual,12421,Diesel,68.9,1.6
 Karoq,2018,20490,Manual,15296,Petrol,51.4,1.5
 Karoq,2019,25390,Automatic,5347,Petrol,33.2,2.0
 Octavia,2019,14695,Manual,14741,Petrol,52.3,1.5
 Kodiaq,2020,31000,Automatic,5790,Diesel,39.2,2.0
 Scala,2019,15290,Manual,4990,Petrol,49.6,1.0
 Kodiaq,2017,25000,Automatic,21000,Petrol,38.2,2.0
 Citigo,2018,7490,Manual,15043,Petrol,68.9,1.0
 Yeti Outdoor,2017,14750,Automatic,25500,Petrol,51.4,1.2
 Octavia,2019,15000,Automatic,14300,Petrol,57.7,1.0
 Fabia,2016,11000,Automatic,14000,Petrol,60.1,1.2
 Yeti Outdoor,2017,11000,Automatic,49409,Petrol,51.4,1.2
 Superb,2018,18000,Automatic,34910,Diesel,54.3,2.0
 Octavia,2019,19000,Automatic,6490,Diesel,45.6,2.0
 Karoq,2019,19000,Automatic,4990,Diesel,62.8,1.6
 Superb,2019,28000,Automatic,4990,Diesel,47.1,2.0
 Octavia,2019,14495,Automatic,13550,Petrol,57.7,1.0
 Fabia,2017,9290,Manual,20000,Petrol,58.8,1.2
 Citigo,2017,6790,Manual,24341,Petrol,68.9,1.0
 Octavia,2019,14150,Manual,14957,Diesel,67.3,1.6
 Octavia,2019,14650,Automatic,14531,Petrol,57.7,1.0
 Kodiaq,2019,25800,Automatic,12150,Diesel,37.2,2.0
 Superb,2016,13600,Automatic,35869,Diesel,61.4,2.0
 Karoq,2019,20550,Automatic,12999,Petrol,50.4,1.5
 Octavia,2019,12850,Manual,11950,Petrol,60.1,1.0
 Superb,2019,27250,Automatic,6250,Diesel,44.1,2.0
 Kodiaq,2019,21700,Automatic,14750,Petrol,34.0,1.5
 Fabia,2019,10000,Manual,2268,Petrol,57.7,1.0
 Superb,2019,19290,Manual,5272,Petrol,40.9,1.5
 Superb,2019,24500,Automatic,2393,Petrol,38.2,2.0
 Superb,2017,15950,Automatic,22060,Diesel,62.8,2.0
 Fabia,2020,13850,Manual,1474,Petrol,50.4,1.0
 Superb,2017,13300,Manual,23757,Diesel,67.3,1.6
 Octavia,2017,13000,Automatic,19647,Petrol,57.7,1.4
 Octavia,2019,14250,Manual,6966,Petrol,55.4,1.5
 Kodiaq,2017,19950,Automatic,16241,Petrol,44.8,1.4
 Kodiaq,2019,26140,Automatic,4920,Diesel,44.8,2.0
 Superb,2019,21950,Automatic,8279,Diesel,61.4,2.0
 Octavia,2019,15000,Manual,2048,Diesel,56.5,2.0
 Karoq,2019,21000,Automatic,7515,Diesel,62.8,1.6
 Octavia,2019,17950,Automatic,9268,Petrol,44.8,1.5
 Kodiaq,2019,25000,Manual,4657,Petrol,37.2,1.5
 Octavia,2019,15000,Automatic,13008,Diesel,70.6,1.6
 Octavia,2019,18950,Automatic,8853,Petrol,42.8,2.0
 Fabia,2017,10700,Manual,18335,Petrol,58.9,1.2
 Octavia,2019,14000,Manual,13896,Petrol,55.4,1.5
 Fabia,2019,10150,Manual,9771,Petrol,61.4,1.0
 Kodiaq,2019,26950,Automatic,10778,Petrol,36.7,1.5
 Fabia,2017,8498,Manual,11184,Diesel,74.3,1.4
 Fabia,2017,7998,Manual,44737,Petrol,64.2,1.0
 Octavia,2016,9298,Manual,51000,Diesel,70.6,2.0
 Fabia,2017,8198,Manual,32487,Petrol,60.1,1.2
 Octavia,2016,8198,Manual,64164,Diesel,74.3,1.6
 Yeti,2014,11000,Manual,13593,Petrol,46.3,1.2
 Roomster,2012,5290,Manual,54000,Petrol,49.6,1.2
 Octavia,2017,12490,Automatic,12000,Petrol,58.9,1.4
 Octavia,2013,6990,Automatic,82000,Diesel,62.8,2.0
 Superb,2019,26500,Automatic,3039,Petrol,38.2,2.0
 Octavia,2019,14650,Automatic,14046,Petrol,57.7,1.0
 Kodiaq,2018,20250,Manual,29298,Petrol,40.9,1.4
 Yeti Outdoor,2017,13550,Automatic,21650,Petrol,51.4,1.2
 Superb,2019,24000,Automatic,15,Petrol,38.2,2.0
 Fabia,2017,9150,Manual,20193,Petrol,64.2,1.0
 Octavia,2019,14900,Automatic,14271,Diesel,70.6,1.6
 Fabia,2019,14000,Automatic,8193,Petrol,60.1,1.0
 Octavia,2019,14850,Automatic,12069,Diesel,70.6,1.6
 Fabia,2019,13250,Manual,6649,Petrol,60.1,1.0
 Yeti Outdoor,2017,13495,Automatic,22098,Petrol,51.4,1.2
 Fabia,2016,9950,Automatic,42000,Petrol,60.1,1.2
 Superb,2012,5790,Manual,76000,Diesel,64.2,1.6
 Fabia,2011,2795,Manual,80000,Diesel,67.3,1.6
 Fabia,2019,12490,Manual,7500,Petrol,61.4,1.0
 Kamiq,2020,19790,Automatic,5000,Petrol,44.1,1.5
 Superb,2017,13000,Automatic,31312,Petrol,55.4,1.4
 Superb,2019,18490,Manual,12008,Petrol,40.9,1.5
 Fabia,2017,11290,Automatic,10203,Petrol,60.1,1.2
 Octavia,2019,12690,Manual,13881,Petrol,60.1,1.0
 Fabia,2019,9590,Manual,7148,Petrol,57.7,1.0
 Fabia,2017,11490,Automatic,2000,Petrol,61.4,1.0
 Octavia,2014,8490,Automatic,68000,Diesel,72.4,1.6
 Fabia,2019,11490,Manual,7,Petrol,51.4,1.0
 Octavia,2019,15790,Automatic,3327,Diesel,72.4,1.6
 Fabia,2019,11490,Manual,5,Petrol,51.4,1.0
 Octavia,2019,16490,Automatic,13,Diesel,72.4,1.6
 Fabia,2015,6000,Manual,51878,Petrol,58.8,1.0
 Fabia,2015,10000,Automatic,20200,Petrol,60.1,1.2
 Octavia,2012,7995,Manual,65900,Diesel,49.6,2.0
 Octavia,2015,8399,Manual,61500,Diesel,74.3,1.6
 Octavia,2019,20500,Automatic,6750,Petrol,35.8,2.0
 Octavia,2019,18000,Manual,4150,Petrol,50.4,1.5
 Fabia,2019,14950,Manual,2750,Petrol,51.4,1.0
 Octavia,2019,19150,Automatic,3150,Diesel,67.3,2.0
 Kodiaq,2019,29750,Automatic,2150,Petrol,31.7,2.0
 Octavia,2019,14650,Automatic,12638,Petrol,57.7,1.0
 Octavia,2019,14650,Automatic,13892,Petrol,57.7,1.0
 Octavia,2019,18998,Semi-Auto,25,Diesel,67.3,2.0
 Superb,2017,12295,Semi-Auto,33571,Diesel,70.6,1.6
 Yeti Outdoor,2014,10995,Manual,58281,Diesel,49.6,2.0
 Karoq,2019,20498,Manual,101,Diesel,50.4,2.0
 Fabia,2017,8995,Manual,22154,Petrol,60.1,1.2
 Octavia,2015,8698,Manual,47000,Diesel,74.3,1.6
 Yeti Outdoor,2016,9998,Manual,52236,Diesel,48.7,2.0
 Yeti Outdoor,2016,9698,Manual,58551,Diesel,47.9,2.0
 Fabia,2016,7298,Manual,21732,Petrol,60.1,1.2
 Superb,2019,17798,Manual,13645,Diesel,65.7,2.0
 Yeti Outdoor,2016,12798,Manual,11361,Petrol,51.4,1.2
 Fabia,2017,11650,Semi-Auto,3700,Petrol,61.4,1.0
 Fabia,2018,9298,Manual,6259,Petrol,57.7,1.0
 Scala,2019,15998,Semi-Auto,2355,Petrol,47.1,1.0
 Fabia,2017,11998,Semi-Auto,21075,Petrol,61.4,1.0
 Octavia,2018,11998,Manual,15783,Diesel,68.9,1.6
 Yeti Outdoor,2017,13998,Semi-Auto,23339,Petrol,51.4,1.2
 Fabia,2017,7498,Manual,26226,Petrol,64.2,1.0
 Superb,2016,10498,Manual,77501,Diesel,68.9,2.0
 Octavia,2014,11995,Manual,47381,Petrol,45.6,2.0
 Citigo,2014,4295,Manual,19367,Petrol,68.9,1.0
 Fabia,2017,7995,Manual,49711,Petrol,60.1,1.2
 Kodiaq,2018,19995,Manual,10840,Diesel,52.3,2.0
 Octavia,2019,16995,Semi-Auto,5906,Petrol,55.4,1.5
 Scala,2019,14995,Manual,2250,Petrol,49.6,1.0
 Scala,2019,15490,Manual,5,Petrol,49.6,1.0
 Superb,2017,17500,Manual,20160,Petrol,54.3,1.4
 Fabia,2019,14495,Manual,5736,Petrol,60.1,1.0
 Citigo,2017,6595,Manual,25575,Petrol,67.3,1.0
 Yeti Outdoor,2016,12498,Semi-Auto,17148,Petrol,51.4,1.2
 Superb,2017,16498,Manual,18317,Petrol,56.5,1.4
 Fabia,2016,11998,Semi-Auto,13518,Petrol,60.1,1.2
 Yeti Outdoor,2015,11698,Semi-Auto,50863,Diesel,51.4,2.0
 Fabia,2017,10998,Semi-Auto,20786,Petrol,60.1,1.2
 Citigo,2014,4998,Manual,56831,Petrol,67.3,1.0
 Yeti Outdoor,2017,11995,Manual,39138,Diesel,62.8,2.0
 Yeti Outdoor,2016,10995,Manual,47513,Diesel,62.8,2.0
 Octavia,2017,11395,Manual,5515,Petrol,58.9,1.0
 Octavia,2019,12698,Manual,13870,Diesel,68.9,1.6
 Superb,2019,18998,Semi-Auto,5264,Petrol,36.7,1.5
 Octavia,2019,14998,Manual,13770,Diesel,67.3,1.6
 Octavia,2017,15985,Manual,21032,Diesel,64.2,2.0
 Superb,2016,13985,Manual,29032,Diesel,76.4,1.6
 Kodiaq,2019,33250,Automatic,10993,Diesel,35.3,2.0
 Octavia,2019,13495,Manual,14174,Petrol,60.1,1.0
 Octavia,2019,13495,Manual,12284,Petrol,60.1,1.0
 Octavia,2019,13495,Manual,16161,Petrol,60.1,1.0
 Octavia,2019,13495,Manual,15446,Petrol,60.1,1.0
 Fabia,2019,11900,Manual,1455,Petrol,52.3,1.0
 Karoq,2019,27000,Manual,322,Diesel,42.8,2.0
 Octavia,2015,10000,Manual,5591,Petrol,53.3,1.4
 Yeti Outdoor,2017,13000,Manual,18480,Petrol,51.4,1.2
 Fabia,2016,8000,Manual,22639,Petrol,60.1,1.2
 Fabia,2017,11900,Semi-Auto,21093,Petrol,60.1,1.2
 Fabia,2019,14000,Manual,2841,Petrol,60.1,1.0
 Kodiaq,2018,22500,Manual,8685,Petrol,40.9,1.4
 Kodiaq,2017,17200,Manual,19216,Petrol,46.3,1.4
 Fabia,2016,8200,Manual,25832,Petrol,60.1,1.2
 Octavia,2018,14995,Automatic,7716,Petrol,55.4,1.5
 Octavia,2018,12495,Manual,14370,Petrol,60.1,1.0
 Octavia,2019,13495,Manual,14408,Petrol,60.1,1.0
 Citigo,2018,7495,Manual,10924,Petrol,64.2,1.0
