Account_Length,Vmail_Message,CustServ_Calls,Churn,Intl_Plan,Vmail_Plan,Total_mins,Total_calls,Total_charges
128,25,1,no,no,yes,717.2,303,320.26
107,26,1,no,no,yes,625.2,332,313.64
137,0,0,no,no,no,539.4000000000002,333,224.89
84,0,2,no,yes,no,564.8,255,263.7
75,0,3,no,yes,no,512.0,359,238.99
118,0,0,no,yes,no,654.1999999999998,323,271.51
121,24,3,no,no,yes,786.8000000000003,321,290.91
147,0,0,no,yes,no,479.00000000000006,275,258.70000000000005
117,0,1,no,no,no,760.6000000000001,271,289.12
141,37,0,no,yes,yes,818.2,297,406.94
65,0,4,yes,no,no,579.1000000000001,337,263.0
74,0,0,no,no,no,556.2,374,253.08
168,0,1,no,no,no,386.0,297,181.29
95,0,3,no,no,no,608.8,283,251.94
62,0,4,no,no,no,644.0,251,262.31
161,0,4,yes,no,no,816.7,301,252.89
85,27,1,no,no,yes,580.3999999999999,308,154.31999999999996
93,0,3,no,no,no,546.6,349,188.59
76,33,1,no,no,yes,578.2,244,226.2
73,0,1,no,no,no,589.7,254,256.7
147,0,0,no,no,no,614.1999999999998,347,267.8
77,0,5,yes,no,no,447.6,280,245.62
130,0,0,no,no,no,447.20000000000016,308,229.86
111,0,2,no,no,no,445.0,316,230.65
132,0,0,no,no,no,573.5999999999998,275,285.08
174,0,3,no,no,no,667.6,308,310.85
57,39,0,no,no,yes,596.3,345,245.94
54,0,3,no,no,no,406.6,245,146.71
20,0,0,no,no,no,636.0,301,245.62
49,0,1,no,no,no,524.1999999999998,317,228.3
142,0,2,no,no,no,486.2,312,291.64
75,0,1,no,no,no,684.0999999999998,315,315.62999999999994
172,0,3,no,no,no,549.1,324,348.59
12,0,1,yes,no,no,794.0,330,359.88
57,25,0,no,no,yes,593.5999999999998,289,271.99
72,37,3,no,no,yes,604.8000000000002,259,219.52
36,30,0,no,no,yes,452.6,323,177.72
78,0,1,no,no,no,592.3,293,282.0
136,33,3,no,yes,yes,503.7,318,159.73
149,0,1,no,no,no,611.6,303,246.74
98,0,3,no,no,no,490.3,324,234.44
135,41,0,yes,yes,yes,513.8,285,178.4
34,0,2,no,no,no,728.5,262,373.43
160,0,3,no,no,no,438.8,283,217.65
64,0,1,no,no,no,648.6,274,323.56
59,28,2,no,no,yes,505.5,310,211.4
65,0,3,no,no,no,521.8,365,194.06
142,0,2,no,no,no,571.1999999999998,339,298.33
119,0,5,yes,no,no,542.3999999999999,325,198.73
97,24,1,no,no,yes,432.0,275,117.85
52,0,3,no,no,no,706.3,296,305.12
60,0,1,no,no,no,687.5,304,317.4899999999999
10,0,2,no,no,no,670.4999999999999,241,346.42
96,0,2,no,no,no,665.5,257,291.26
87,0,5,yes,no,no,584.3000000000002,329,260.04
81,0,1,no,no,no,705.2,253,336.14
141,0,1,no,no,no,455.7,290,186.17
121,30,3,yes,no,yes,460.7,286,231.05
68,0,3,no,no,no,537.2,340,185.16000000000003
125,0,1,no,no,no,608.0,332,255.12
174,0,1,no,no,no,540.0,249,224.28
116,34,2,no,no,yes,624.7,334,237.72
74,33,2,no,no,yes,592.4,282,202.0
149,28,3,no,no,yes,646.6,212,327.53
38,0,2,no,no,no,461.3,307,204.51
40,41,2,no,no,yes,537.9000000000002,269,264.99
43,0,0,no,yes,no,631.4,280,228.26
113,0,0,no,yes,no,469.20000000000016,359,176.18
126,0,1,no,no,no,589.8,211,216.93
150,0,4,yes,no,no,510.4,314,203.8
138,0,3,no,no,no,719.4,287,367.38
162,46,0,no,no,yes,679.8000000000002,244,323.55999999999995
147,0,3,no,no,no,578.0,281,237.34
90,0,1,no,no,no,589.8,372,215.08
85,0,0,no,no,no,593.2,305,253.36
50,0,1,no,no,no,567.9,275,236.9
82,0,0,yes,no,no,763.1000000000001,286,351.85000000000014
144,0,4,yes,no,no,319.9,308,200.02
46,0,2,no,no,no,564.2,292,238.07
70,0,1,no,no,no,569.0,278,285.06
144,0,1,no,no,no,741.8000000000003,294,297.63
116,0,3,no,yes,no,711.3000000000003,297,348.46
55,25,3,no,no,yes,488.4,310,226.3
70,24,1,no,no,yes,741.6999999999997,271,299.86
106,0,2,yes,no,no,663.5999999999998,270,260.34000000000003
128,29,0,no,no,yes,736.8000000000003,275,389.54
94,0,4,yes,no,no,510.5,295,240.31
111,0,1,no,no,no,617.2,294,248.0
74,35,2,no,no,yes,490.5,254,250.82
128,0,1,yes,no,no,708.3,290,283.54
82,0,1,no,no,no,459.5,262,158.56
155,0,0,yes,no,no,599.1999999999998,327,258.03
80,0,1,no,no,no,558.4,278,302.56
78,0,3,no,no,no,704.7,317,336.49999999999994
90,0,3,no,no,no,508.0,250,182.96
104,0,1,no,no,no,532.3999999999999,361,227.41
73,0,0,no,no,no,560.5,258,230.79
99,0,4,no,no,no,605.1,279,253.15
120,0,1,yes,no,no,594.0,336,230.01
77,0,2,yes,no,no,742.5,314,350.52
98,21,4,no,no,yes,577.9999999999999,297,217.44
108,0,0,no,no,no,511.0,320,185.23
135,0,0,no,no,no,461.2,293,226.85
95,0,1,no,no,no,576.4000000000002,316,298.2800000000001
122,0,1,no,no,no,604.0999999999998,280,306.59
95,0,4,no,no,no,627.0999999999998,282,258.13
36,29,2,no,no,yes,679.8,297,263.08
93,21,1,no,no,yes,509.2,335,263.42999999999995
141,32,1,no,no,yes,509.20000000000016,331,268.40000000000003
157,0,3,no,no,no,628.7,326,306.4899999999999
120,0,1,no,no,no,609.6999999999998,277,181.81
103,0,2,no,no,no,643.7,304,286.66
98,0,4,no,no,no,591.6999999999998,347,284.82
125,0,1,no,no,no,593.8,319,301.59
63,0,1,no,no,no,449.3,275,247.88
36,42,0,yes,yes,yes,610.0,343,205.05
64,0,1,no,no,no,386.6,317,104.51
74,0,1,yes,no,no,681.8,281,246.91
112,36,2,no,no,yes,458.8,320,221.01
97,0,2,no,no,no,606.6000000000001,322,211.13
46,0,1,no,no,no,650.7,292,267.69
41,22,0,no,no,yes,505.0,314,198.94
121,0,3,no,no,no,604.8,327,281.41
193,0,1,no,no,no,427.70000000000016,311,161.41
130,0,2,no,no,no,501.0,339,275.69000000000005
85,0,1,no,no,no,695.3,265,320.8400000000001
162,0,4,yes,no,no,392.1,280,189.64
61,27,4,yes,no,yes,566.1999999999998,362,281.93
92,0,2,no,no,no,469.6,303,217.41
131,36,3,no,no,yes,650.0999999999998,338,329.33
90,0,3,no,no,no,521.0,331,199.69
75,0,1,no,no,no,587.3000000000002,296,311.61999999999995
78,0,1,no,no,no,732.3,378,334.58
82,0,4,no,no,no,614.7,259,268.44
163,0,1,no,no,no,615.1,327,268.86
91,0,3,no,yes,no,561.6000000000001,328,298.15
75,21,5,no,no,yes,636.0999999999998,341,298.0
91,0,3,no,no,no,620.8,351,260.03
127,36,1,no,no,yes,584.5,272,320.09
113,23,2,no,no,yes,525.8000000000002,225,216.26
110,0,1,no,no,no,630.9,314,254.4
120,39,0,no,no,yes,685.0,285,320.84
157,28,3,no,no,yes,504.6,325,165.84
103,0,1,no,no,no,654.2,231,271.21000000000004
117,0,2,yes,yes,no,608.1,312,307.93
140,0,3,no,no,no,516.6999999999998,299,172.26000000000005
127,0,1,no,no,no,567.3000000000002,282,258.49
83,0,1,no,yes,no,620.6,322,194.26
121,0,1,no,no,no,570.0,327,220.59
145,43,2,no,no,yes,717.8,282,360.4
113,0,1,no,no,no,598.1,297,234.68000000000004
117,0,1,no,no,no,618.6,322,350.24
65,0,1,no,no,no,580.3,325,284.9
56,0,1,no,no,no,621.9,383,208.22000000000003
96,0,5,no,no,no,687.4,252,341.42
151,0,0,no,no,no,746.5,359,335.73
83,0,0,yes,no,no,734.4999999999999,357,241.79
139,23,0,no,no,yes,677.5,339,322.35
6,0,1,no,no,no,629.1,270,242.42
115,24,1,no,no,yes,499.9,371,214.56000000000003
87,0,0,no,no,no,453.1,311,183.42
141,0,0,no,no,no,724.1,330,325.5900000000001
141,36,3,no,no,yes,668.9,325,295.07
62,0,1,no,no,no,483.1,308,278.86
146,0,1,no,no,no,528.1999999999998,334,224.07
92,33,2,no,no,yes,697.6999999999997,290,301.76
185,31,1,no,no,yes,625.4000000000002,388,324.9
148,0,1,no,no,no,717.4,323,331.0100000000001
94,38,1,no,no,yes,482.1,317,159.48000000000005
32,0,0,no,no,no,578.5999999999998,232,217.81
68,0,1,no,no,no,571.2,291,164.65
64,27,2,no,no,yes,527.1,280,220.35
25,0,3,no,no,no,610.2,278,322.1
65,0,1,no,no,no,492.20000000000016,332,229.49
179,0,0,no,no,no,619.4,326,307.31999999999994
94,0,2,no,no,no,603.6,342,238.9
62,0,0,no,no,no,544.9000000000002,316,248.46
127,0,2,no,no,no,638.2,305,260.95
116,0,3,no,no,no,591.8000000000002,291,267.73
70,0,3,no,no,no,725.5999999999997,346,274.56
94,23,4,no,yes,yes,703.3,369,349.21
126,0,5,yes,no,no,345.6,304,167.85000000000005
67,36,2,no,no,yes,533.0999999999998,320,220.07
19,0,2,no,no,no,669.0,289,280.83
170,0,3,no,yes,no,647.6999999999998,314,207.73
73,0,1,no,no,no,734.8,385,314.22
106,0,1,no,no,no,431.7,320,242.63
93,0,2,no,no,no,589.1999999999998,303,149.39
164,0,1,no,no,no,519.9,352,239.12
51,0,1,no,no,no,660.1,314,299.49999999999994
107,0,0,no,no,no,435.4,298,157.74
130,0,1,no,no,no,515.1,284,289.06
80,0,2,no,no,no,622.0,274,272.21
94,0,0,no,no,no,504.1,339,201.02
118,23,1,no,no,yes,584.7,255,190.41
117,23,1,no,no,yes,562.4,270,239.19
78,0,0,no,no,no,603.1,368,316.83
208,0,2,yes,no,no,695.2,288,263.27
131,26,4,yes,yes,yes,761.6999999999997,332,337.2800000000001
63,0,0,no,no,no,518.7,262,289.42999999999995
53,24,3,no,no,yes,629.2,383,308.2000000000001
62,0,2,no,no,no,766.7,326,317.94
97,0,3,no,no,no,648.9,298,305.75
105,0,2,no,no,no,543.0,246,267.67999999999995
157,0,1,no,no,no,617.6999999999998,282,257.40000000000003
66,36,1,no,no,yes,519.0,272,238.21
122,0,2,no,no,no,521.2,262,240.17
38,0,3,no,no,no,615.2,284,285.19
106,0,3,no,no,no,638.1000000000001,294,324.36000000000007
99,0,3,no,no,no,705.8,297,298.42999999999995
99,0,1,no,no,no,596.5,289,254.02
144,0,0,no,yes,no,657.3000000000002,308,261.9
82,24,1,no,no,yes,532.8000000000002,308,177.95999999999995
86,31,1,no,no,yes,539.7,384,299.4000000000001
70,0,2,yes,yes,no,545.6,310,139.17000000000002
93,0,3,no,no,no,594.5999999999998,328,284.1
93,0,0,no,no,no,521.2,288,224.78
120,0,3,no,no,no,674.3,260,328.27
136,0,1,yes,no,no,681.3,355,226.54
106,0,0,no,no,no,528.9,338,246.38
81,0,3,no,no,no,560.6,319,269.22
127,22,1,no,no,yes,595.6,291,301.72
65,0,1,no,no,no,633.6,314,277.64
35,0,2,no,no,no,574.6999999999998,345,230.51
88,0,2,no,no,no,483.4,287,275.77000000000004
65,0,1,no,no,no,700.7,332,318.29
123,0,3,no,no,no,680.8000000000002,301,289.52
126,27,2,no,no,yes,461.9,303,130.29999999999998
104,23,4,no,no,yes,650.9,333,213.02
45,22,0,no,no,yes,684.9999999999999,287,233.9
93,0,0,yes,yes,no,669.5,285,294.26999999999987
63,36,1,no,yes,yes,698.9,319,268.05
100,0,3,no,no,no,614.5,346,245.67
53,0,0,no,no,no,554.3000000000002,299,211.61
92,0,1,no,yes,no,655.5999999999998,367,295.98
